TITLE,COLORS_USED,SUBJECT_MATTER,EPISODE_DATE
A Walk In The Woods,"Bright_Red, Cadmium_Yellow, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","BUSHES, DECIDUOUS, GRASS, RIVER, TREE, TREES",1983-01-11
Mt. Mckinley,"Bright_Red, Cadmium_Yellow, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","CABIN, CLOUDS, CONIFER, MOUNTAIN, SNOW, SNOWY_MOUNTAIN, TREE, TREES, WINTER",1983-01-11
Ebony Sunset,"Black_Gesso, Bright_Red, Cadmium_Yellow, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","CABIN, CONIFER, FENCE, MOUNTAIN, MOUNTAINS, STRUCTURE, SUN, TREE, TREES, WINTER",1983-01-18
Winter Mist,"Prussian_Blue, Titanium_White, Van_Dyke_Brown","BUSHES, CLOUDS, CONIFER, LAKE, MOUNTAIN, SNOWY_MOUNTAIN, TREE, TREES",1983-01-25
Quiet Stream,"Bright_Red, Cadmium_Yellow, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","DECIDUOUS, RIVER, ROCKS, TREE, TREES",1983-02-01
Winter Moon,"Black_Gesso, Prussian_Blue, Titanium_White, Van_Dyke_Brown","CABIN, CONIFER, LAKE, MOON, MOUNTAIN, MOUNTAINS, NIGHT, SNOW, SNOWY_MOUNTAIN, STRUCTURE, TREE, TREES, WINTER",1983-02-08
Autumn Mountain,"Bright_Red, Cadmium_Yellow, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","DECIDUOUS, LAKE, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, TREE, TREES",1983-02-15
Peaceful Valley,"Bright_Red, Cadmium_Yellow, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","BUSHES, CONIFER, LAKE, MOUNTAIN, MOUNTAINS, TREE, TREES",1983-02-22
Seascape,"Bright_Red, Cadmium_Yellow, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","BEACH, CLOUDS, FENCE, OCEAN",1983-03-01
Mountain Lake,"Bright_Red, Cadmium_Yellow, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","BUSHES, CONIFER, DECIDUOUS, LAKE, MOUNTAIN, TREE, TREES",1983-03-08
Winter Glow,"Bright_Red, Cadmium_Yellow, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","DECIDUOUS, LAKE, TREE, TREES",1983-03-15
Snow Fall,"Prussian_Blue, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","CIRRUS, CLOUDS, CONIFER, LAKE, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, TREE, TREES",1983-03-22
Final Reflections,"Bright_Red, Cadmium_Yellow, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","BUSHES, CONIFER, DECIDUOUS, GRASS, MOUNTAIN, SNOWY_MOUNTAIN, TREE, TREES",1983-03-29
